"","Academic_Year","Term","Course_Number","Course_Title","Primary_Instructor","Student_Count","A","A.","B.","B","B..1","C.","C","C..1","D.","D","D..1","F","W","Average_GPA"
"1","2010-11","20104 (Autumn 2010)","BIOL 104 A","BIOL FOR EL TCHRS","BUTTEMER, HELEN A",19,4,11,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"2","2010-11","20104 (Autumn 2010)","BIOL 106 A","INTRO BIO SEMINAR","BUCHWITZ, BRIAN J.",65,25,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8
"3","2010-11","20104 (Autumn 2010)","BIOL 110 A","DISCOVERY SEM - BIO","MARTIN-MORRIS, LINDA E",24,1,13,1,5,2,NA,2,NA,NA,NA,NA,NA,NA,3.3
"4","2010-11","20104 (Autumn 2010)","BIOL 118 A","SURVEY OF PHYSIOL","PETERSEN, KAREN E",389,27,52,95,85,44,26,14,19,3,7,3,5,9,2.9
"5","2010-11","20104 (Autumn 2010)","BIOL 118 B","SURVEY OF PHYSIOL","PETERSEN, KAREN E",23,1,3,17,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3.3
"6","2010-11","20104 (Autumn 2010)","BIOL 119 A","ELEM PHYSIOL LAB","PETERSEN, KAREN E",24,3,3,8,9,1,NA,NA,NA,NA,NA,NA,NA,NA,3.2
"7","2010-11","20104 (Autumn 2010)","BIOL 119 B","ELEM PHYSIOL LAB","PETERSEN, KAREN E",24,NA,3,16,2,2,NA,NA,NA,NA,NA,NA,NA,1,3.2
"8","2010-11","20104 (Autumn 2010)","BIOL 119 C","ELEM PHYSIOL LAB","PETERSEN, KAREN E",23,NA,4,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
"9","2010-11","20104 (Autumn 2010)","BIOL 119 D","ELEM PHYSIOL LAB","PETERSEN, KAREN E",23,NA,6,10,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3.2
"10","2010-11","20104 (Autumn 2010)","BIOL 119 E","ELEM PHYSIOL LAB","PETERSEN, KAREN E",22,NA,5,9,7,NA,NA,1,NA,NA,NA,NA,NA,NA,3.2
"11","2010-11","20104 (Autumn 2010)","BIOL 119 F","ELEM PHYSIOL LAB","PETERSEN, KAREN E",21,1,9,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"12","2010-11","20104 (Autumn 2010)","BIOL 180 A","INTRO BIOLOGY","FREEMAN, SCOTT",678,59,103,121,130,104,61,35,19,15,6,3,7,15,2.9
"13","2010-11","20104 (Autumn 2010)","BIOL 200 A","INTRO BIOL","SCHIVELL, AMANDA",381,26,65,35,57,61,35,29,32,14,5,2,7,13,2.7
"14","2010-11","20104 (Autumn 2010)","BIOL 220 A","INTRO BIOL","WEIGLE, SCOTT",283,9,28,32,45,60,42,22,24,11,6,1,NA,3,2.6
"15","2010-11","20104 (Autumn 2010)","BIOL 250 A","MARINE BIOLOGY","FRIEDMAN, CAROLYN",54,6,7,14,7,6,3,6,2,1,NA,NA,1,1,2.9
"16","2010-11","20104 (Autumn 2010)","BIOL 280 A","THE HISTORY OF LIFE","WARD, PETER D",104,13,17,27,18,7,NA,6,8,NA,NA,NA,2,6,3
"17","2010-11","20104 (Autumn 2010)","BIOL 302 A","LAB TECHNIQS IN CMB","IMAIZUMI, TAKATO",31,3,6,7,6,6,NA,2,NA,1,NA,NA,NA,NA,3.1
