"","Academic_Year","Term","Course_Number","Course_Title","Primary_Instructor","Student_Count","A","A.","B.","B","B..1","C.","C","C..1","D.","D","D..1","F","W","Average_GPA"
"1","2010-11","20104 (Autumn 2010)","DANCE 100 B","UNDERSTANDING DANCE","CINOTTO, RHONDA M.",87,23,18,15,4,7,3,1,1,NA,1,NA,6,8,3.1
"2","2010-11","20104 (Autumn 2010)","DANCE 102 A","INTRO TO DANCE","PERIGO, KORY",32,12,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"3","2010-11","20104 (Autumn 2010)","DANCE 102 B","INTRO TO DANCE","PETERS, PAULA",32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"4","2010-11","20104 (Autumn 2010)","DANCE 102 C","INTRO TO DANCE","HAMBRICK, GENERAL MCARTHUR",32,22,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,3.8
"5","2010-11","20104 (Autumn 2010)","DANCE 104 A","MODERN TECHNIQUE","MCNEIL, CHRISTINA J",34,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4
"6","2010-11","20104 (Autumn 2010)","DANCE 107 A","BALLET TECHNIQUE","WEI, CHENGXIN",26,16,6,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,3.6
"7","2010-11","20104 (Autumn 2010)","DANCE 110 B","JAZZ TECHNIQUE I","MCNEIL, CHRISTINA J",38,33,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3.9
"8","2010-11","20104 (Autumn 2010)","DANCE 201 A","BALLET TECHNIQUE 2","HAMBRICK, GENERAL MCARTHUR",25,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"9","2010-11","20104 (Autumn 2010)","DANCE 201 B","BALLET TECHNIQUE 2","WEI, CHENGXIN",27,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.9
"10","2010-11","20104 (Autumn 2010)","DANCE 204 A","MODERN TECHNIQ II","COOPER, ELIZABETH",24,15,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3.7
