"","Academic_Year","Term","Course_Number","Course_Title","Primary_Instructor","Student_Count","A","A.","B.","B","B..1","C.","C","C..1","D.","D","D..1","F","W","Average_GPA"
"1","2012-13","20124 (Autumn 2012)","DESIGN 165 A","INTRO INDUST DESIGN","MUREN, DOMINIC L",42,NA,16,10,5,5,4,2,NA,NA,NA,NA,NA,NA,3.1
"2","2012-13","20124 (Autumn 2012)","DESIGN 165 B","INTRO INDUST DESIGN","MUREN, DOMINIC L",19,2,7,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,3.3
"3","2012-13","20124 (Autumn 2012)","DESIGN 207 A","DESIGN DRAWING","AHN, SANGGYEUN",57,1,13,30,10,3,NA,NA,NA,NA,NA,NA,NA,NA,3.2
"4","2012-13","20124 (Autumn 2012)","DESIGN 210 A","COLOR & COMPOSITION","KLINGLER, CASSIE R.",60,3,26,20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"5","2012-13","20124 (Autumn 2012)","DESIGN 316 A","INTRO INDUST DESIGN","FEIL, MAGNUS",19,3,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"6","2012-13","20124 (Autumn 2012)","DESIGN 321 A","MATERIAL & MANUFACT","AHN, SANGGYEUN",19,1,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"7","2012-13","20124 (Autumn 2012)","DESIGN 366 A","EDIT VISUALIZATIONS","MATTHEWS, KRISTINE",19,NA,13,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"8","2012-13","20124 (Autumn 2012)","DESIGN 376 A","TYPOGRAPHY","GOULD, ANNABELLE",19,NA,13,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"9","2012-13","20124 (Autumn 2012)","DESIGN 381 A","CASE STUDIES IXD","BARTENBACH, JEFF",19,4,6,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"10","2012-13","20124 (Autumn 2012)","DESIGN 383 A","FOUNDATIONS OF IXD","ROESLER, AXEL",25,10,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"11","2012-13","20124 (Autumn 2012)","DESIGN 445 A","ADV INDUSTRIAL DES","FEIL, MAGNUS",18,4,7,4,1,NA,1,NA,1,NA,NA,NA,NA,NA,3.4
"12","2012-13","20124 (Autumn 2012)","DESIGN 466 A","PUBLICATION","GOULD, ANNABELLE",20,1,12,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"13","2012-13","20124 (Autumn 2012)","DESIGN 478 A","INFORMATION DESIGN","CHENG, KAREN",21,1,12,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"14","2012-13","20124 (Autumn 2012)","DESIGN 481 A","DESIGN FIELD STUDY","HIRSCH, TAD",15,NA,4,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3.3
"15","2012-13","20124 (Autumn 2012)","DESIGN 499 A","INDIV PROJ-DESIGN","MUREN, DOMINIC L",18,2,6,7,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3.4
"16","2012-13","20131 (Winter 2013)","DESIGN 166 A","DESIGN FOUNDATIONS","MATTHEWS, KRISTINE",113,2,28,39,23,14,3,NA,NA,NA,NA,NA,1,3,3.1
"17","2012-13","20131 (Winter 2013)","DESIGN 209 A","FNDMTLS TYPOGRAPHY","GOULD, ANNABELLE",60,NA,19,26,10,4,NA,NA,1,NA,NA,NA,NA,NA,3.2
"18","2012-13","20131 (Winter 2013)","DESIGN 211 A","3-D FOUNDATION","FEIL, MAGNUS",60,2,19,23,8,6,2,NA,NA,NA,NA,NA,NA,NA,3.2
"19","2012-13","20131 (Winter 2013)","DESIGN 317 A","INTRMD ID STUDIO 1","MILHOAN, JT",18,1,10,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3.4
"20","2012-13","20131 (Winter 2013)","DESIGN 322 A","DIGITAL DESIGN","AHN, SANGGYEUN",18,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"21","2012-13","20131 (Winter 2013)","DESIGN 377 A","MARKS & SYMBOLS","CHENG, KAREN",19,1,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"22","2012-13","20131 (Winter 2013)","DESIGN 378 A","INFO ARCH/WEB DES","MACGOWAN, ALANNA A.",19,5,6,4,1,1,NA,2,NA,NA,NA,NA,NA,NA,3.4
"23","2012-13","20131 (Winter 2013)","DESIGN 384 A","INFO VISUALIZATIONS","MURILLO, OSCAR",19,2,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"24","2012-13","20131 (Winter 2013)","DESIGN 385 A","DSGN INNOVATION&SOC","MUREN, DOMINIC L",19,3,7,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"25","2012-13","20131 (Winter 2013)","DESIGN 446 A","ADV INDUS DES: PROF","FEIL, MAGNUS",17,1,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"26","2012-13","20131 (Winter 2013)","DESIGN 467 A","EXH & INST DESIGN","MATTHEWS, KRISTINE",17,NA,10,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"27","2012-13","20131 (Winter 2013)","DESIGN 479 A","INTERACTION DESIGN","HIRSCH, TAD",20,NA,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
"28","2012-13","20131 (Winter 2013)","DESIGN 483 A","ADV INTERACTION DES","ROESLER, AXEL",29,10,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"29","2012-13","20131 (Winter 2013)","DESIGN 488 A","PORTFOLIO PREP","TRAVER, ANNE M",53,13,34,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"30","2012-13","20132 (Spring 2013)","DESIGN 166 A","DESIGN FOUNDATIONS","CHENG, KAREN",70,3,19,21,23,3,NA,NA,NA,1,NA,NA,NA,NA,3.2
"31","2012-13","20132 (Spring 2013)","DESIGN 212 A","INTRO INTERAC DSGN","HIRSCH, TAD",60,NA,27,17,14,2,NA,NA,NA,NA,NA,NA,NA,NA,3.3
"32","2012-13","20132 (Spring 2013)","DESIGN 318 A","INTRMD ID STUDIO 2","MILHOAN, JT",19,5,9,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3.5
"33","2012-13","20132 (Spring 2013)","DESIGN 323 A","INDUST DSGN PRESENT","MUREN, DOMINIC L",19,4,11,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"34","2012-13","20132 (Spring 2013)","DESIGN 367 A","CMU PROGRAMS","GOULD, ANNABELLE",20,6,8,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3.4
"35","2012-13","20132 (Spring 2013)","DESIGN 368 A","STUDIES CORP IDENT","TRAVER, ANNE M",22,4,11,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3.4
"36","2012-13","20132 (Spring 2013)","DESIGN 386 A","VISUAL STORYTELLING","ROESLER, AXEL",19,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"37","2012-13","20132 (Spring 2013)","DESIGN 387 A","PHYSICAL IXD","MUREN, DOMINIC L",19,2,6,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"38","2012-13","20132 (Spring 2013)","DESIGN 447 A","ADV INDUS DES: PROJ","AHN, SANGGYEUN",19,3,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"39","2012-13","20132 (Spring 2013)","DESIGN 480 A","SENIOR PROJECT","MATTHEWS, KRISTINE",21,1,13,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"40","2012-13","20132 (Spring 2013)","DESIGN 484 A","SR PROJ IXD","ROESLER, AXEL",15,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"41","2013-14","20134 (Autumn 2013)","DESIGN 165 A","INTRO INDUST DESIGN","MUREN, DOMINIC L",40,NA,23,9,3,3,NA,NA,NA,NA,1,1,NA,NA,3.3
