"","Academic_Year","Term","Course_Number","Course_Title","Primary_Instructor","Student_Count","A","A.","B.","B","B..1","C.","C","C..1","D.","D","D..1","F","W","Average_GPA"
"1","2010-11","20104 (Autumn 2010)","INFO 100 A","COMPUTER FLUENCY","FLEURY, DARRELL",123,25,66,15,7,6,NA,NA,NA,NA,NA,NA,NA,4,3.6
"2","2010-11","20104 (Autumn 2010)","INFO 200 A","INTELL FOUNDATIONS","EISENBERG, MICHAEL",104,16,66,8,8,NA,NA,NA,5,NA,NA,NA,NA,1,3.5
"3","2010-11","20104 (Autumn 2010)","INFO 341 A","COMP NET & DIST APP","MCDONALD, DAVID",35,1,12,9,4,5,NA,1,1,NA,1,NA,NA,1,3.1
"4","2010-11","20104 (Autumn 2010)","INFO 343 A","WEB TECHNOLOGIES","BROOKS, TERRY",35,5,16,7,4,2,NA,NA,1,NA,NA,NA,NA,NA,3.4
"5","2010-11","20104 (Autumn 2010)","INFO 343 B","WEB TECHNOLOGIES","SHARMA, MANSI",31,10,5,7,4,2,NA,NA,NA,NA,NA,NA,NA,3,3.5
"6","2010-11","20104 (Autumn 2010)","INFO 445 A","ADV DBMS DESIGN","SHINOHARA, KRISTEN",25,3,13,3,3,NA,NA,NA,1,NA,NA,NA,1,1,3.3
"7","2010-11","20104 (Autumn 2010)","INFO 447 A","COMP SUPP COOP WRK","MCDONALD, DAVID",28,2,14,6,2,2,1,1,NA,NA,NA,NA,NA,NA,3.3
"8","2010-11","20104 (Autumn 2010)","INFO 461 A","COOPERTIV USR-CNTR","KO, ANDREW J",26,2,8,9,4,2,1,NA,NA,NA,NA,NA,NA,NA,3.3
"9","2010-11","20104 (Autumn 2010)","INFO 470 A","RES METHODS IN INFO","WOBBROCK, JACOB",79,2,48,20,7,1,NA,NA,NA,NA,NA,NA,NA,1,3.5
"10","2010-11","20104 (Autumn 2010)","INFO 481 A","PROJECT MANAGEMENT","TAYLOR, HAZEL",70,28,32,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"11","2010-11","20104 (Autumn 2010)","INFO 481 B","PROJECT MANAGEMENT","TAYLOR, HAZEL",26,4,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"12","2010-11","20111 (Winter 2011)","INFO 100 A","COMPUTER FLUENCY","FLEURY, DARRELL",79,33,29,8,3,3,1,NA,1,NA,NA,NA,NA,1,3.6
"13","2010-11","20111 (Winter 2011)","INFO 200 A","INTELL FOUNDATIONS","BROOKS, TERRY",68,10,40,11,6,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"14","2010-11","20111 (Winter 2011)","INFO 340 A","DBM & INFO RET SYS","BAUER, JARED S",40,14,20,2,2,NA,1,NA,NA,NA,NA,NA,1,NA,3.5
"15","2010-11","20111 (Winter 2011)","INFO 340 B","DBM & INFO RET SYS","BAUER, JARED S",41,9,17,9,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"16","2010-11","20111 (Winter 2011)","INFO 380 A","IS ANALYSIS & MGMT","HAY, GREG",82,14,40,8,8,8,NA,2,1,1,NA,NA,NA,NA,3.4
"17","2010-11","20111 (Winter 2011)","INFO 424 A","INFO VIS & AESTH","BROOKS, TERRY",42,25,14,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3.7
"18","2010-11","20111 (Winter 2011)","INFO 431 A","METADATA DESIGN","OH, SAM GYUN",20,1,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"19","2010-11","20111 (Winter 2011)","INFO 444 A","VAL SEN DESIGN","FRIEDMAN, BATYA",28,4,13,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3.4
"20","2010-11","20111 (Winter 2011)","INFO 490 A","DSGN DEV INTER SYS","KO, ANDREW J",22,8,11,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"21","2010-11","20111 (Winter 2011)","INFO 490 D","DSGN DEV INTER SYS","PRATT, WANDA",28,NA,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"22","2010-11","20112 (Spring 2011)","INFO 100 A","COMPUTER FLUENCY","FLEURY, DARRELL",73,28,30,5,4,2,NA,2,NA,1,NA,NA,NA,1,3.6
"23","2010-11","20112 (Spring 2011)","INFO 200 A","INTELL FOUNDATIONS","EISENBERG, MICHAEL",99,26,57,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"24","2010-11","20112 (Spring 2011)","INFO 330 A","INFO STUCTURES","BOIKO, BOB",40,12,15,8,1,2,2,NA,NA,NA,NA,NA,NA,NA,3.5
"25","2010-11","20112 (Spring 2011)","INFO 330 B","INFO STUCTURES","BOIKO, BOB",39,8,15,1,5,6,1,NA,NA,NA,NA,NA,NA,3,3.4
"26","2010-11","20112 (Spring 2011)","INFO 344 A","WEB TOOLS & DEV","WILBANKS, DYLAN E",40,11,23,3,1,1,NA,NA,NA,NA,NA,NA,NA,1,3.7
